,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2020-01-02,600519,5970.88,5980.93,6056.61,5910.59,148099,16696837120.0,2.34,-4.26,-266.32,1.18
1,2020-01-03,600519,5915.61,5722.46,5915.61,5714.12,130319,14266380544.0,3.37,-4.32,-258.47,1.04
2,2020-01-06,600519,5683.77,5719.6,5794.51,5665.88,63415,6853917696.0,2.25,-0.05,-2.86,0.5
3,2020-01-07,600519,5717.13,5802.71,5825.17,5711.61,47854,5220697088.0,1.99,1.45,83.11,0.38
4,2020-01-08,600519,5755.07,5770.6,5807.58,5742.66,25008,2720371920.0,1.12,-0.55,-32.11,0.2
5,2020-01-09,600519,5800.04,5843.76,5857.27,5779.94,37406,4110949808.0,1.34,1.27,73.16,0.3
6,2020-01-10,600519,5875.41,5893.0,5910.54,5842.75,35976,3993457120.0,1.16,0.84,49.24,0.29
7,2020-01-13,600519,5893.0,5952.14,5976.91,5890.49,38516,4325688064.0,1.47,1.0,59.14,0.31
8,2020-01-14,600519,5951.79,5867.37,5955.26,5845.27,35145,3916300784.0,1.85,-1.42,-84.77,0.28
9,2020-01-15,600519,5875.46,5891.14,5938.73,5855.31,26029,2895603680.0,1.42,0.41,23.77,0.21
10,2020-01-16,600519,5925.01,5865.36,5925.01,5843.15,23192,2571593136.0,1.39,-0.44,-25.78,0.18
11,2020-01-17,600519,5880.44,5867.88,5894.41,5835.27,23473,2599645152.0,1.01,0.04,2.52,0.19
12,2020-01-20,600519,5889.78,5784.97,5889.78,5739.74,35391,3858246848.0,2.56,-1.41,-82.91,0.28
13,2020-01-21,600519,5734.72,5706.08,5764.87,5691.0,32874,3542441312.0,1.28,-1.36,-78.89,0.26
14,2020-01-22,600519,5679.45,5707.13,5749.79,5605.98,36200,3875275072.0,2.52,0.02,1.05,0.29
15,2020-01-23,600519,5709.6,5593.02,5709.6,5513.63,53468,5638945792.0,3.43,-2.0,-114.11,0.43
16,2020-02-03,600519,5252.34,5347.41,5381.38,5227.22,123443,12314991872.0,2.76,-4.39,-245.61,0.98
17,2020-02-04,600519,5403.08,5518.7,5614.12,5383.03,62624,6490469120.0,4.32,3.2,171.29,0.5
18,2020-02-05,600519,5578.95,5578.9,5599.05,5493.68,47418,4956355328.0,1.91,1.09,60.2,0.38
19,2020-02-06,600519,5626.33,5684.47,5704.57,5589.1,47171,5011246336.0,2.07,1.89,105.57,0.38
20,2020-02-07,600519,5679.5,5709.6,5714.62,5634.32,31279,3348894576.0,1.41,0.44,25.13,0.25
21,2020-02-10,600519,5639.25,5661.81,5702.56,5615.13,30533,3251908512.0,1.53,-0.84,-47.79,0.24
22,2020-02-11,600519,5644.27,5820.14,5828.58,5643.27,47918,5222918912.0,3.27,2.8,158.33,0.38
23,2020-02-12,600519,5774.92,5816.47,5824.11,5759.24,28125,3072293968.0,1.11,-0.06,-3.67,0.22
24,2020-02-13,600519,5820.14,5784.97,5899.99,5769.94,30357,3335277424.0,2.24,-0.54,-31.5,0.24
25,2020-02-14,600519,5782.2,5769.89,5797.58,5745.32,23288,2534568400.0,0.9,-0.26,-15.08,0.19
26,2020-02-17,600519,5742.26,5799.14,5811.05,5741.75,27028,2946182656.0,1.2,0.51,29.25,0.22
