日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2024/10/18,1517.12,3.15,457831360,4.39,1140102688,10.94,-682271328,-6.55,-457438000,-4.39,-393354,0
2024/10/21,1504.92,-0.8,-182593664,-2.84,-232423904,-3.61,49830240,0.77,182855200,2.84,-261548,0
2024/10/22,1519.12,0.94,217152640,3.87,117747088,2.1,99405552,1.77,-217016304,-3.87,-136349,0
2024/10/23,1543.62,1.61,147836368,2.36,194644480,3.11,-46808112,-0.75,-147581808,-2.36,-254580,0
2024/10/24,1528.32,-0.99,-272241696,-7.31,-183793168,-4.94,-88448528,-2.38,272415808,7.32,-174112,0
2024/10/25,1534.97,0.44,143641808,3.32,-37319264,-0.86,180961072,4.18,-143557536,-3.32,-84280,0
2024/10/28,1541.12,0.4,-215183440,-3.55,-265206928,-4.37,50023488,0.82,215517392,3.55,-333946,-0.01
2024/10/29,1507.74,-2.17,-383826816,-6.03,-410119424,-6.44,26292608,0.41,383983136,6.03,-156315,0
2024/10/30,1508.12,0.03,-108583744,-2.21,-251883040,-5.13,143299296,2.92,108727872,2.21,-144124,0
2024/10/31,1503.91,-0.28,55683264,1.22,78282000,1.71,-22598736,-0.49,-55371824,-1.21,-311444,-0.01
2024/11/1,1509.87,0.4,191074960,3.86,159290096,3.22,31784864,0.64,-190717008,-3.85,-357949,-0.01
2024/11/4,1524.32,0.96,317455072,7.08,174880256,3.9,142574816,3.18,-317074944,-7.07,-380121,-0.01
2024/11/5,1553.11,1.89,446260816,6.26,99123696,1.39,347137120,4.87,-445440768,-6.24,-820059,-0.01
2024/11/6,1547.12,-0.39,-147680960,-2.5,-283633024,-4.79,135952064,2.3,147802272,2.5,-121310,0
2024/11/7,1625.26,5.05,777756720,6.44,508045376,4.21,269711344,2.23,-777169744,-6.44,-586869,0
2024/11/8,1586.09,-2.41,-1066442928,-10.79,-917465936,-9.28,-148976992,-1.51,1066558896,10.79,-115951,0
2024/11/11,1574.13,-0.75,-412378736,-5.93,-462319744,-6.65,49941008,0.72,412901600,5.93,-522868,-0.01
2024/11/12,1553.32,-1.32,-385222464,-4.91,-385010896,-4.91,-211568,0,385683984,4.92,-461510,-0.01
2024/11/13,1554.62,0.08,112587312,2.45,-94009040,-2.05,206596352,4.5,-112449728,-2.45,-137580,0
2024/11/14,1549.92,-0.3,-173776304,-3.76,-112487808,-2.44,-61288496,-1.33,174151568,3.77,-375286,-0.01
2024/11/15,1535.12,-0.95,-442603104,-8.36,-257730400,-4.87,-184872704,-3.49,443003520,8.37,-400423,-0.01
2024/11/18,1535.12,0,-85378736,-2.01,-112847776,-2.66,27469040,0.65,85679408,2.02,-300691,-0.01
2024/11/19,1518.04,-1.11,-615843872,-11.98,-515651968,-10.03,-100191904,-1.95,615942112,11.99,-98233,0
2024/11/20,1520.93,0.19,57313456,1.74,154334304,4.69,-97020848,-2.95,-57103216,-1.73,-210239,-0.01
2024/11/21,1521.25,0.02,-102551968,-3.65,-140529168,-5,37977200,1.35,102632112,3.65,-80131,0
2024/11/22,1483.94,-2.45,-676222608,-13.24,-313984016,-6.15,-362238592,-7.09,676543152,13.25,-320553,-0.01
2024/11/25,1474.69,-0.62,-221524336,-4.42,-58961904,-1.18,-162562432,-3.24,222058528,4.43,-534198,-0.01
2024/11/26,1485.12,0.71,173002336,4.46,141115168,3.64,31887168,0.82,-172700304,-4.45,-302043,-0.01
2024/11/27,1495.17,0.68,203714256,5.19,195855808,4.99,7858448,0.2,-203443488,-5.18,-270784,-0.01
2024/11/28,1494.12,-0.07,-230666144,-6.36,-130138000,-3.59,-100528144,-2.77,230749424,6.36,-83292,0
2024/11/29,1501.86,0.52,403546048,7.29,269368880,4.87,134177168,2.42,-403271408,-7.29,-274632,0
2024/12/2,1501.12,-0.05,-173997024,-4.26,-16390000,-0.4,-157607024,-3.86,174115920,4.26,-118889,0
2024/12/3,1502.86,0.12,75860656,2.01,-20891616,-0.55,96752272,2.56,-75718864,-2,-141777,0
2024/12/4,1496.12,-0.45,-31619504,-0.87,171608128,4.73,-203227632,-5.6,31705984,0.87,-86500,0
2024/12/5,1487.12,-0.6,-159214896,-6.52,-95697152,-3.92,-63517744,-2.6,159281488,6.52,-66586,0
2024/12/6,1497.13,0.67,594404256,12.17,214134704,4.39,380269552,7.79,-594161376,-12.17,-242875,0
2024/12/9,1494.92,-0.15,-14709728,-0.49,-12568528,-0.42,-2141200,-0.07,14738656,0.49,-28916,0
2024/12/10,1522.71,1.86,390872928,4.15,197553984,2.1,193318944,2.05,-390222688,-4.14,-650255,-0.01
2024/12/11,1511.72,-0.72,-254687456,-5.57,-51103360,-1.12,-203584096,-4.46,254849616,5.58,-162156,0
