,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,时间
0,1,301662,N宏工,71.2,167.67,44.6,116128.0,869079456.61,47.74,83.8,71.1,72.2,26.6,,73.61,25.86,3.79,5696000000.0,1123274340.0,-0.04,-0.21,167.67,167.67,2025-04-17  14:40:13
1,2,920106,林泰新材,138.01,28.39,30.52,47293.0,641187653.41,15.68,139.73,122.88,130.55,107.49,2.94,39.07,35.87,11.12,5503493775.0,1670713867.0,-0.3,-0.47,133.09,130.02,2025-04-17  14:40:13
2,3,834261,一诺威,14.11,22.48,2.59,183089.0,253172899.43,30.03,14.86,11.4,11.46,11.52,5.63,10.69,17.54,2.67,4107883074.0,2416988902.0,-0.98,-1.33,46.07,42.67,2025-04-17  14:40:13
3,4,839273,一致魔芋,80.0,21.25,14.02,85405.0,624374876.18,30.62,84.0,63.8,64.0,65.98,1.28,17.63,68.04,9.53,5900320000.0,3875792000.0,-1.22,-1.7,236.56,282.04,2025-04-17  14:40:13
4,5,833394,民士达,46.07,20.92,7.97,120052.0,515123727.82,22.99,47.39,38.63,38.86,38.1,1.43,25.04,55.14,9.02,6737737500.0,2209229263.0,3.06,2.7,94.96,137.47,2025-04-17  14:40:13
5,6,300208,*ST中程,2.2,20.22,0.37,225357.0,45507367.9,21.86,2.2,1.8,1.81,1.83,2.84,3.28,-9.37,-3.44,1648845000.0,1512260477.0,0.0,0.0,-19.71,-25.42,2025-04-17  14:40:13
6,7,300947,德必集团,20.81,20.01,3.47,282247.0,556193287.83,21.4,20.81,17.1,17.25,17.34,3.17,18.68,106.01,2.5,3145175454.0,3144161695.0,0.0,0.0,16.91,31.13,2025-04-17  14:40:13
7,8,688602,康鹏科技,8.82,20.0,1.47,562383.0,477035407.0,15.1,8.82,7.71,7.86,7.35,4.58,22.06,-92.65,1.65,4580887500.0,2248899116.0,0.0,0.0,33.43,27.64,2025-04-17  14:40:13
8,9,300616,尚品宅配,13.92,20.0,2.32,215874.0,285808899.09,20.09,13.92,11.59,11.59,11.6,3.41,13.84,-20.53,0.89,3125262442.0,2171050089.0,0.0,0.0,18.97,13.63,2025-04-17  14:40:13
9,10,300721,怡达股份,18.72,20.0,3.12,289358.0,512516323.36,22.82,18.72,15.16,15.27,15.6,1.04,21.16,323.71,2.53,3085930954.0,2559744608.0,0.0,0.0,55.1,53.69,2025-04-17  14:40:13
