序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
63,603039,泛微网络,68.54,10,6.23,32517,217020524,9.84,68.54,62.41,62.41,62.31,1.16,1.25,88.01,8.27,17861734623,17861734623,0,0,47.65,39.88
64,1395,亚联机械,51.68,10,4.7,92499,457480553.3,12.88,51.68,45.63,47,46.98,3.09,47.95,29.18,4.24,4508563200,996928079,0,0,170.86,170.86
65,605188,国光连锁,12.54,10,1.14,91265,113290537,4.47,12.54,12.03,12.29,11.4,0.41,1.84,569.61,5.54,6214573200,6214573200,0,0,76.62,64.14
66,603116,红蜻蜓,5.39,10,0.49,122463,63911836,12.65,5.39,4.77,4.8,4.9,1.59,2.13,-186.36,1.08,3105722312,3105722312,0,0,-2.53,-2.88
67,603536,惠发食品,10.45,10,0.95,209061,210152160,12.21,10.45,9.29,9.51,9.5,1.26,8.69,-154.14,5.68,2556512035,2513562117,0,0,-2.43,-10.53
68,2261,拓维信息,28.38,10,2.58,1386860,3813712502,9.81,28.38,25.85,25.85,25.8,1.7,12.17,2427.58,13.73,35647328298,32354205134,0,0,58.11,55
69,2820,桂发祥,13.53,10,1.23,666991,880669843.5,8.37,13.53,12.5,12.5,12.3,4.53,33.29,100.39,2.95,2717748031,2710540370,0,0,5.79,8.94
70,600594,益佰制药,3.63,10,0.33,248421,87650061,10.91,3.63,3.27,3.28,3.3,2.6,3.14,-12.75,1.09,2874696462,2874696462,0,0,5.22,1.97
71,603931,格林达,31.12,10,2.83,61194,185030927,11.03,31.12,28,28,28.29,1.54,3.07,41.98,4.05,6210256786,6210256786,0,0,33.11,34.2
72,2843,泰嘉股份,22.34,10,2.03,167425,362758198.8,10,22.34,20.31,20.31,20.31,1.23,6.68,64.49,4.03,5676852295,5602705835,0,0,-6.41,4.78
73,2719,麦趣尔,9.9,10,0.9,579022,530025518.7,16.89,9.9,8.38,8.91,9,3.26,35.77,-14.87,4.67,1723980624,1602535721,0,0,30.61,26.44
74,3020,立方制药,25.31,10,2.3,13492,34147315.53,0,25.31,25.31,25.31,23.01,0.42,0.98,30.51,2.86,4840803255,3493714268,0,0,40.3,41.87
75,600857,宁波中百,10.23,10,0.93,153631,153031498,9.89,10.23,9.31,9.31,9.3,1.02,6.85,-142.92,2.76,2294792771,2294792771,0,0,28.04,10
76,2985,北摩高科,26.09,9.99,2.37,138204,349764320.8,11,26.09,23.48,23.63,23.72,4.46,6.67,78,3.4,8658060424,5408049892,0,0,19.9,11.02
77,2836,新宏泽,8.81,9.99,0.8,69183,60950381.58,0,8.81,8.81,8.81,8.01,1.92,3,32.48,5.46,2029824000,2029824000,0,0,9.71,19.7
78,1368,通达创智,22.36,9.99,2.03,49427,104794620.4,11.61,22.36,20,20.26,20.33,1.3,17.65,24.78,1.88,2552944056,626080000,0,0,9.93,18.56
79,25,特  力Ａ,19.26,9.99,1.75,593405,1128366351,5.2,19.26,18.35,18.88,17.51,5.53,15.11,60.76,4.81,8302183243,7564910443,0,0,20.6,16.59
80,1300,三柏硕,12.45,9.98,1.13,52505,64196741.9,10.6,12.45,11.25,11.38,11.32,1.23,7.93,110.07,2.88,3035010129,824427633,0,0,8.07,8.17
81,2584,西陇科学,9.04,9.98,0.82,589622,527842286.6,11.44,9.04,8.1,8.14,8.22,0.75,13.63,61.82,2.3,5290356455,3909721090,0,0,12.3,25.73
82,603928,兴业股份,10.36,9.98,0.94,62942,63214150,11.57,10.36,9.27,9.37,9.42,0.78,2.4,55.66,1.81,2715148800,2715148800,0,0,24.67,25.12
83,2715,登云股份,16.42,9.98,1.49,60882,97935730.46,9.58,16.42,14.99,14.99,14.93,1.62,4.41,441.58,4.74,2265960000,2265960000,0,0,12.93,10.57
84,603389,亚振家居,6.94,9.98,0.63,143019,96005785,10.3,6.94,6.29,6.32,6.31,1.01,5.44,-25.62,5.64,1823498880,1823498880,0,0,18.23,13.21
85,601798,蓝科高新,6.51,9.97,0.59,35143,22878119,0,6.51,6.51,6.51,5.92,0.42,0.99,-83.63,1.77,2307978569,2307978569,0,0,4.49,-13.08
86,920,沃顿科技,10.81,9.97,0.98,257272,269888471.8,11.6,10.81,9.67,9.72,9.83,0.71,6.1,25.84,2.73,5109034286,4561576775,0,0,28.84,21.19
87,859,国风新材,6.51,9.97,0.59,456313,292237487,11.82,6.51,5.81,5.88,5.92,0.45,5.09,-83.66,2.09,5832805524,5832009677,0,0,28.91,28.66
88,2809,红墙股份,8.71,9.97,0.79,92068,78900328.17,11.36,8.71,7.81,7.81,7.92,2.64,6.68,34.4,1.14,1831094729,1199673183,0,0,8.06,9.84
89,603933,睿能科技,15.88,9.97,1.44,48286,75235458,11.01,15.88,14.29,14.44,14.44,0.9,2.33,40.81,2.51,3295807851,3295807851,0,0,3.72,2.19
90,300920,润阳科技,28.25,9.96,2.56,98641,264265680.6,19.7,29.77,24.71,25.18,25.69,1.36,15.34,111.72,2.42,2825000000,1816746906,-1.53,-1.74,62.64,66.96
91,605136,丽人丽妆,8.06,9.96,0.73,177367,136684577,11.73,8.06,7.2,7.2,7.33,1.5,4.43,-132.28,1.3,3227695510,3227695510,0,0,5.77,-6.6
92,2040,南 京 港,8.17,9.96,0.74,683331,548987859.1,6.33,8.17,7.7,8.17,7.43,2.95,14.06,26.85,1.23,4002550525,3970130985,0,0,25.31,23.98
93,605138,盛泰集团,6.96,9.95,0.63,38581,26852460,0,6.96,6.96,6.96,6.33,0.76,0.69,72.88,1.6,3866714415,3866714415,0,0,29.13,26.09
94,514,渝 开 发,4.09,9.95,0.37,157073,63115482.46,9.41,4.09,3.74,3.76,3.72,1.86,1.86,-56.82,0.93,3451023247,3451023247,0,0,0.74,-0.49
95,2562,兄弟科技,4.42,9.95,0.4,835697,357582650.9,9.2,4.42,4.05,4.18,4.02,2.46,11.91,118.08,1.52,4701556391,3100757221,0,0,5.24,4
96,2188,中天服务,4.86,9.95,0.44,180352,84967190,11.54,4.86,4.35,4.46,4.42,2.38,7.01,224.53,5.27,1589724779,1250784214,0,0,10.45,7.76
97,2427,尤夫股份,5.97,9.94,0.54,1097913,627080987.5,14.55,5.97,5.18,5.3,5.43,1.03,11.14,-126.9,6.39,5883033679,5882997315,0,0,73.55,71.55
98,600575,淮河能源,3.98,9.94,0.36,3975424,1536892227,8.56,3.98,3.67,3.81,3.62,4.79,10.23,18.03,1.35,15467319039,15467319039,0,0,19.88,0.25
99,600939,重庆建工,2.77,9.92,0.25,194544,52112422,11.11,2.77,2.49,2.51,2.52,2.49,1.02,-75.07,0.67,5267984474,5267984474,0,0,-3.15,-7.97
100,820,神雾节能,2.55,9.91,0.23,191793,48379974.35,10.34,2.55,2.31,2.36,2.32,2.74,6.52,-73.48,18.13,1641231513,749781342,0,0,-37.96,-26.93
101,2374,中锐股份,2.55,9.91,0.23,204037,49572254.6,11.21,2.55,2.29,2.3,2.32,1.29,1.88,-25.11,2.5,2767283672,2767283672,0,8.51,-3.41,-6.93
102,600644,乐山电力,10.26,9.85,0.92,1259056,1231020113,12.85,10.27,9.07,9.34,9.34,4.09,23.39,64.9,2.84,5933571593,5523990761,-0.1,0.1,70.72,67.65
103,688095,福昕软件,64.09,9.84,5.74,51387,318762402,13.23,64.8,57.08,58.72,58.35,3.07,5.62,228.54,2.29,5860359093,5860359093,-0.23,0.16,-7.78,-4.57
104,605179,一鸣食品,24.46,9.64,2.15,352966,806839673,15.42,24.54,21.1,21.47,22.31,1.81,8.8,199.32,8.89,9808460000,9808460000,0.25,0.49,23.97,22.3
105,301162,国能日新,62.3,9.34,5.32,52541,319588764.6,17.36,66.06,56.17,56.17,56.98,1.47,8.49,66.69,5.39,6241507682,3853521582,-0.37,0.73,44.11,36.92
